date,ASACX10,FYCCZA,TFPKQ,TFPJQ
1981-06-30,7.8,12.9689,-3.3,0.32
1981-09-30,,13.8605,4.57,0.32
1981-12-31,7.05,13.486,-7.35,0.32
1982-03-31,,13.6209,-4.7,0.32
1982-06-30,5.7,13.1756,-1.39,0.32
1982-09-30,,12.5357,-2.61,0.32
1982-12-31,5.65,10.6677,0.13,0.32
1983-03-31,5.3,10.6151,2.16,0.32
1983-06-30,,10.5553,5.72,0.33
1983-09-30,,11.5265,1.48,0.33
1983-12-31,5.2,11.5566,4.82,0.33
1984-03-31,5.6,11.7594,5.31,0.33
1984-06-30,,12.9091,3.48,0.34
1984-09-30,,12.5172,0.44,0.34
1984-12-31,5.2,11.5426,-0.25,0.34
1985-03-31,4.35,11.492,1.9,0.34
1985-06-30,,10.8643,-1.06,0.33
1985-09-30,,10.4534,4.14,0.33
1985-12-31,4.55,9.9393,-0.13,0.33
1986-03-31,4,8.7593,2.71,0.32
1986-06-30,,7.8506,0.15,0.32
1986-09-30,,7.7424,0.54,0.31
1986-12-31,4,7.6581,-1.08,0.31
1987-03-31,4.2,7.4343,-1.12,0.31
1987-06-30,,8.4444,4.58,0.32
1987-09-30,,8.9409,1.39,0.32
1987-12-31,4.5,9.1798,1.8,0.32
1988-03-31,4.3,8.624,1.72,0.32
1988-06-30,,9.0483,0.14,0.32
1988-09-30,,9.1581,1.17,0.32
1988-12-31,4.35,8.9162,0.65,0.32
1989-03-31,4.25,9.041,-0.97,0.32
1989-06-30,,8.6527,-3.09,0.32
1989-09-30,,8.0664,0,0.32
1989-12-31,4.2,7.8901,-1.21,0.31
1990-03-31,3.95,8.3628,2.73,0.31
1990-06-30,,8.5993,1.85,0.31
1990-09-30,,8.7082,-1.38,0.31
1990-12-31,4.15,8.4433,-4.54,0.31
1991-03-31,4.05,8.1474,-2.07,0.31
1991-06-30,,8.2898,3.43,0.31
1991-09-30,,8.1369,1.4,0.31
1991-12-31,4,7.6687,0.07,0.31
1992-03-31,3.7,7.6451,9.74,0.31
1992-06-30,3.9,7.6807,1.92,0.3
1992-09-30,3.75,7.1541,0.66,0.3
1992-12-31,3.6,7.179,0.74,0.3
1993-03-31,3.5,6.6911,-4.99,0.3
1993-06-30,3.7,6.3656,0.15,0.31
1993-09-30,3.45,5.8979,-2.17,0.31
1993-12-31,3.45,5.8716,4.75,0.31
1994-03-31,3.45,6.3174,-2.06,0.32
1994-06-30,3.5,7.2231,1.15,0.32
1994-09-30,3.5,7.4299,-1.72,0.32
1994-12-31,3.5,7.8335,4.42,0.33
1995-03-31,3.3,7.4884,-1.74,0.33
1995-06-30,3.35,6.6691,-0.3,0.33
1995-09-30,3.2,6.4293,1.4,0.33
1995-12-31,3,5.9744,0.51,0.33
1996-03-31,3,6.0384,2.4,0.33
1996-06-30,3,6.8007,3.34,0.33
1996-09-30,3,6.7941,1.44,0.34
1996-12-31,3,6.394,1.1,0.34
1997-03-31,3,6.5969,-0.94,0.34
1997-06-30,2.85,6.7387,4.09,0.34
1997-09-30,3,6.3198,3.54,0.34
1997-12-31,2.65,5.9751,1.44,0.33
1998-03-31,2.6,5.6942,1.79,0.33
1998-06-30,2.5,5.7057,1.31,0.33
1998-09-30,2.5,5.3277,3.6,0.32
1998-12-31,2.5,4.9482,0.48,0.32
1999-03-31,2.3,5.3457,5.05,0.32
1999-06-30,2.5,5.8276,-1.64,0.32
1999-09-30,2.5,6.2194,1.36,0.32
1999-12-31,2.5,6.4505,3.99,0.32
2000-03-31,2.5,6.5776,2.46,0.31
2000-06-30,2.5,6.3159,3.71,0.31
2000-09-30,2.5,6.0224,-1.6,0.31
2000-12-31,2.5,5.7142,1.45,0.31
2001-03-31,2.5,5.3055,-1.95,0.31
2001-06-30,2.5,5.5523,2.09,0.31
2001-09-30,2.5,5.3282,-2.37,0.31
2001-12-31,2.55,5.178,0.9,0.31
2002-03-31,2.5,5.5042,6.06,0.32
2002-06-30,2.5,5.4713,0.71,0.32
2002-09-30,2.5,4.6886,0.91,0.33
2002-12-31,2.45,4.4455,0.62,0.33
2003-03-31,2.5,4.3104,2,0.33
2003-06-30,2.5,3.9421,4.01,0.33
2003-09-30,2.5,4.5745,4.95,0.33
2003-12-31,2.5,4.5944,1.71,0.34
2004-03-31,2.5,4.2876,1.01,0.34
2004-06-30,2.5,4.8857,3.07,0.34
2004-09-30,2.5,4.5555,3.16,0.34
2004-12-31,2.5,4.385,0.19,0.35
2005-03-31,2.45,4.4275,2.03,0.35
2005-06-30,2.5,4.2501,-0.26,0.36
2005-09-30,2.5,4.2822,2.34,0.36
2005-12-31,2.5,4.5754,1.93,0.37
2006-03-31,2.5,4.6319,3.54,0.37
2006-06-30,2.5,5.1155,-1.63,0.37
2006-09-30,2.5,4.9235,-1.78,0.37
2006-12-31,2.5,4.6617,1.26,0.37
2007-03-31,2.35,4.7196,-1.03,0.36
2007-06-30,2.4,4.8886,-0.41,0.36
2007-09-30,2.4,4.8386,-2.36,0.36
2007-12-31,2.4,4.4529,-0.09,0.35
2008-03-31,2.5,3.9803,-4.77,0.35
2008-06-30,2.5,4.1867,0.13,0.34
2008-09-30,2.5,4.1473,-1.42,0.35
2008-12-31,2.5,3.8926,-7.37,0.35
2009-03-31,2.4,3.3615,-2.79,0.36
2009-06-30,2.5,3.8038,4.83,0.36
2009-09-30,2.5,3.9675,4.29,0.37
2009-12-31,2.26,3.8429,5.55,0.37
2010-03-31,2.39,4.0382,0.9,0.38
2010-06-30,2.4,3.7655,3.43,0.39
2010-09-30,2.3,3.0132,4.07,0.39
2010-12-31,2.2,3.0982,-0.28,0.39
2011-03-31,2.3,3.6856,-2.21,0.38
2011-06-30,2.4,3.4225,0.97,0.38
2011-09-30,2.4,2.5884,-2.05,0.38
2011-12-31,2.5,2.1646,3.47,0.39
2012-03-31,2.3,2.1335,4.7,0.39
2012-06-30,2.48,1.8811,-0.95,0.39
2012-09-30,2.35,1.6852,-2.25,0.39
2012-12-31,2.3,1.7378,0.03,0.39
2013-03-31,2.3,2.0103,1,0.39
2013-06-30,2.3,2.0504,-0.25,0.39
2013-09-30,2.21,2.8525,0.21,0.39
2013-12-31,2.3,2.9,1.73,0.39
2014-03-31,2.3,2.9055,-3.51,0.39
2014-06-30,2.25,2.7312,5.79,0.39
2014-09-30,2.2,2.5971,2.55,0.39
2014-12-31,2.2,2.3657,-0.33,0.39
2015-03-31,2.1,2.052,1.72,0.39
2015-06-30,2.14,2.2641,0.33,0.39
2015-09-30,2.15,2.3043,-1.24,0.39
2015-12-31,2.15,2.2808,-3.14,0.39
2016-03-31,2.12,2.0013,1.7,0.39
2016-06-30,2.2,1.8113,-3.6,0.38
2016-09-30,2.15,1.6097,1.6,0.38
2016-12-31,2.22,2.2167,1,0.38
2017-03-31,2.3,2.5213,1.1,0.38
2017-06-30,2.3,2.318,0.53,0.38
2017-09-30,2.25,2.286,0.72,0.37
2017-12-31,2.2,2.3978,0.46,0.37
2018-03-31,2.25,2.7781,1.48,0.37
2018-06-30,2.3,2.9238,0.18,0.37
2018-09-30,2.2,2.9217,0.9,0.37
2018-12-31,2.21,3.0383,-1.11,0.37
2019-03-31,2.2,2.6466,3.77,0.37
2019-06-30,2.2,2.3515,0.23,0.37
2019-09-30,2.2,1.8075,-0.88,0.37
2019-12-31,2.2,1.811,0.71,0.37
2020-03-31,2.2,1.404,-4,0.37
